id,key,name,group,include_desc,note
1,PowerState,电源状态,all,true,
2,Speed,车速,all,true,
3,Mileage,里程,all,true,
4,Gear,档位,all,true,
5,EngineRPM,发动机转速,all,true,
6,BrakeDepth,刹车深度,all,true,
7,AcceleratorDepth,加速踏板深度,all,true,
8,FrontMotorRPM,前电机转速,all,true,
9,RearMotorRPM,后电机转速,all,true,
10,Power,发动机功率,all,true,
11,FrontMotorTorque,前电机扭矩,all,true,
12,ChargeGun,充电枪插枪状态,all,true,
13,Consumption100km,百公里电耗,all,true,
14,MaxBatTemp,最高电池温度,all,true,
15,AvgBatTemp,平均电池温度,all,true,
16,MinBatTemp,最低电池温度,all,true,
17,MaxCellV,最高电池电压,all,true,
18,MinCellV,最低电池电压,all,true,
19,LastWiperTime,上次雨刮时间,all,true,
20,Weather,天气,all,true,
21,SeatbeltFL,主驾驶安全带状态,all,true,
22,RemoteLockState,远程锁车状态,all,true,
25,InsideTemp,车内温度,all,true,
26,ExtTemp,车外温度,all,true,
27,ACTempDriver,主驾驶空调温度,all,true,
28,TempUnit,温度单位,all,true,
29,BatCapacity,电池容量,all,true,
30,SteeringAngle,方向盘转角,all,true,
31,SteeringSpeed,方向盘转速,all,true,
32,TotalElecCon,总电耗,all,true,
33,SOC,电量百分比,all,true,
34,FuelPercent,油量百分比,all,true,
35,TotalFuelConsumption,总燃油消耗,all,true,
36,LaneCurvature,车道线曲率,all,true,
37,RightLaneDistance,右侧线距离,all,true,
38,LeftLaneDistance,左侧线距离,all,true,
39,Voltage12V,蓄电池电压,all,true,
40,RadarFrontLeft,雷达左前,all,true,
41,RadarFrontRight,雷达右前,all,true,
42,RadarRearLeft,雷达左后,all,true,
43,RadarRearRight,雷达右后,all,true,
44,RadarLeft,雷达左,all,true,
45,RadarFrontMidLeft,雷达前左中,all,true,
46,RadarFrontMidRight,雷达前右中,all,true,
47,RadarRearMid,雷达中后,all,true,
48,WiperFrontSpeed,前雨刮速度,all,true,
49,WiperGear,雨刮档位,all,true,
50,CruiseSwitch,巡航开关,all,true,
51,FrontCarDistance,前车距离,all,true,
52,ChargingStatus,充电状态,all,true,
53,TirePressFL,左前轮气压,all,true,
54,TirePressFR,右前轮气压,all,true,
55,TirePressRL,左后轮气压,all,true,
56,TirePressRR,右后轮气压,all,true,
57,TurnLeft,左转向灯,all,true,
58,TurnRight,右转向灯,all,true,
59,LockFL,主驾车门锁,all,true,
61,WindowFL,主驾车窗打开百分比,all,true,
62,WindowFR,副驾车窗打开百分比,all,true,
63,WindowRL,左后车窗打开百分比,all,true,
64,WindowRR,右后车窗打开百分比,all,true,
65,Sunroof,天窗打开百分比,all,true,
66,Sunshade,遮阳帘打开百分比,all,true,
67,WorkMode,整车工作模式,all,true,
68,DriveMode,整车运行模式,all,true,
69,Month,月,all,true,
70,Day,日,all,true,
71,Hour,时,all,true,
72,Minute,分,all,true,
73,SeatbeltFRWarning,副驾安全带警告,all,true,
74,SeatbeltRL,二排左安全带,all,false,raw value only: [] description returns success=false on tested vehicle
75,SeatbeltRR,二排右安全带,all,true,
76,SeatbeltRearMid,二排中安全带,all,false,raw value only: [] description returns success=false on tested vehicle
77,ACStatus,空调状态,all,true,
78,FanLevel,风量档位,all,true,
79,ACCirc,空调循环方式,all,true,
80,ACVentMode,空调出风模式,all,true,
81,DoorFL,主驾车门,all,true,
82,DoorFR,副驾车门,all,true,
83,DoorRL,左后车门,all,true,
84,DoorRR,右后车门,all,true,
85,Hood,引擎盖,all,true,
86,Trunk,后备箱门,all,true,
87,FuelFlap,油箱盖,all,true,
88,AutoPark,自动驻车,all,true,
89,ACCCruiseStatus,ACC巡航状态,all,true,
90,RearLeftApproachWarn,左后接近告警,all,true,
91,RearRightApproachWarn,右后接近告警,all,true,
92,LaneKeepStatus,车道保持状态,all,true,
93,LockRL,左后车门锁,all,true,
94,LockFR,副驾车门锁,all,true,
95,LockRR,右后车门锁,all,true,
96,TrunkLock,后备箱门锁,all,true,
97,ChildLockRL,左后儿童锁,all,true,
98,ChildLockRR,右后儿童锁,all,true,
99,SmallLight,小灯,all,true,
100,LightLow,近光灯,all,true,
101,LightHigh,远光灯,all,true,
104,FogFront,前雾灯,all,true,
105,FogRear,后雾灯,all,true,
106,FootLight,脚照灯,all,true,
107,DRL,日行灯,all,true,
108,EngineCoolantTemp,发动机水温,all,true,
109,HazardLight,双闪,all,true,
1001,PanoramaState,全景状态,all,true,
1002,ConfigUIVersion,配置UI版本,all,true,
1003,SentryState,哨兵状态,all,true,
1004,PowerOffRecordSwitch,熄火录像配置开关,all,true,
1006,PowerOffSentryAlarm,熄火哨兵报警,all,true,
1007,WifiState,WIFI状态,all,true,
1008,BluetoothState,蓝牙状态,all,true,
1009,BluetoothSignal,Bluetooth信号强度,all,true,
1101,WirelessADB,无线ADB开关,all,true,
2001,AIHumanConfidence,AI识别人可信度,all,true,
2002,AICarConfidence,AI识别车可信度,all,true,
2003,LastSentryTriggerTime,上次哨兵触发时间,all,true,
2004,LastSentryTriggerImage,上次哨兵触发画面,all,true,
2005,LastVideoStartTime,上次录像文件开始时间,all,true,
2006,LastVideoEndTime,上次录像文件结束时间,all,true,
2007,LastVideoPath,上次录像路径,all,true,
