key,feature_group,dev,fid,tx,feature_names,feature_refs,candidate_source,source_read_count,source_write_count,source_change_count,seed_last_status,seed_last_raw_present,seed_last_raw_int,seed_last_error,raw_sample,float_sample
ac_1000_-1728053173_5,AC,1000,-1728053173,5,AC_QUR_ALL_STATUS;Ac.AC_QUR_ALL_STATUS,AC_QUR_ALL_STATUS;Ac.AC_QUR_ALL_STATUS,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_57425_5,AC,1000,57425,5,AC_HAS_AC_DEFROST;Ac.AC_HAS_AC_DEFROST,AC_HAS_AC_DEFROST;Ac.AC_HAS_AC_DEFROST,live_reflection_device_map,279,1,0,0,1,-10011,,,
ac_1000_620815_5,AC,1000,620815,5,AC_WINDMODE_SHOWN_STATE;Ac.AC_WINDMODE_SHOWN_STATE,AC_WINDMODE_SHOWN_STATE;Ac.AC_WINDMODE_SHOWN_STATE,live_reflection_device_map,279,1,0,0,1,-10011,,,
ac_1000_796741_5,AC,1000,796741,5,AC_THE_SECOND_PERFUME;Ac.AC_THE_SECOND_PERFUME,AC_THE_SECOND_PERFUME;Ac.AC_THE_SECOND_PERFUME,live_reflection_device_map,279,1,0,0,1,-10011,,,
ac_1000_875606_5,AC,1000,875606,5,AC_THE_FIRST_PERFUME;Ac.AC_THE_FIRST_PERFUME,AC_THE_FIRST_PERFUME;Ac.AC_THE_FIRST_PERFUME,live_reflection_device_map,279,1,0,0,1,-10011,,,
ac_1000_1003520_5,AC,1000,1003520,5,AC_QUICK_CLEAN_AIR_443_ONLINE;Ac.AC_QUICK_CLEAN_AIR_443_ONLINE,AC_QUICK_CLEAN_AIR_443_ONLINE;Ac.AC_QUICK_CLEAN_AIR_443_ONLINE,live_reflection_device_map,279,1,0,0,1,-10011,,,
ac_1000_229638178_5,AC,1000,229638178,5,AC_WHETHER_DMS_MODE;Ac.AC_WHETHER_DMS_MODE,AC_WHETHER_DMS_MODE;Ac.AC_WHETHER_DMS_MODE,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_229638190_5,AC,1000,229638190,5,AC_DMS_MODE_FEEDBAEK;Ac.AC_DMS_MODE_FEEDBAEK,AC_DMS_MODE_FEEDBAEK;Ac.AC_DMS_MODE_FEEDBAEK,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_588267536_5,AC,1000,588267536,5,Ac.AC_ONE_KEY_NO_TRACE_AIR_CONDITIONING_STATUS,Ac.AC_ONE_KEY_NO_TRACE_AIR_CONDITIONING_STATUS,live_reflection_device_map,279,1,0,0,1,65535,,,
ac_1000_655360008_5,AC,1000,655360008,5,Ac.AC_REAR_LEFT_SEAT_VENTILATING_STATUS,Ac.AC_REAR_LEFT_SEAT_VENTILATING_STATUS,live_reflection_device_map,279,1,0,0,1,0,,,
ac_1000_655360012_5,AC,1000,655360012,5,Ac.AC_REAR_LEFT_SEAT_HEATING_STATUS,Ac.AC_REAR_LEFT_SEAT_HEATING_STATUS,live_reflection_device_map,279,1,0,0,1,0,,,
