key,feature_group,dev,fid,tx,feature_names,feature_refs,candidate_source
setting_1023_898664484_5,SETTING,1023,898664484,5,SETTING_VEHICLE_STATE_UNSUITABLE_PAD_INDICATOR_FLAG,Setting.SETTING_VEHICLE_STATE_UNSUITABLE_PAD_INDICATOR_FLAG,fid_catalog_20260804_6e29ad30
setting_1023_898664484_7,SETTING,1023,898664484,7,SETTING_VEHICLE_STATE_UNSUITABLE_PAD_INDICATOR_FLAG,Setting.SETTING_VEHICLE_STATE_UNSUITABLE_PAD_INDICATOR_FLAG,fid_catalog_20260804_6e29ad30
setting_1023_898664496_5,SETTING,1023,898664496,5,SETTING_RACE_MODE_ACC_TIMER_CONFIG_FLAG,Setting.SETTING_RACE_MODE_ACC_TIMER_CONFIG_FLAG,fid_catalog_20260804_6e29ad30
setting_1023_898664496_7,SETTING,1023,898664496,7,SETTING_RACE_MODE_ACC_TIMER_CONFIG_FLAG,Setting.SETTING_RACE_MODE_ACC_TIMER_CONFIG_FLAG,fid_catalog_20260804_6e29ad30
setting_1023_898664498_5,SETTING,1023,898664498,5,SETTING_RACE_MODE_ACC_TIMER_SWITCH_STATUS,Setting.SETTING_RACE_MODE_ACC_TIMER_SWITCH_STATUS,fid_catalog_20260804_6e29ad30
setting_1023_898664498_7,SETTING,1023,898664498,7,SETTING_RACE_MODE_ACC_TIMER_SWITCH_STATUS,Setting.SETTING_RACE_MODE_ACC_TIMER_SWITCH_STATUS,fid_catalog_20260804_6e29ad30
setting_1023_898664500_5,SETTING,1023,898664500,5,SETTING_CATAPULT_START_FUNCTION_CONFIG_FLAG,Setting.SETTING_CATAPULT_START_FUNCTION_CONFIG_FLAG,fid_catalog_20260804_6e29ad30
setting_1023_898664500_7,SETTING,1023,898664500,7,SETTING_CATAPULT_START_FUNCTION_CONFIG_FLAG,Setting.SETTING_CATAPULT_START_FUNCTION_CONFIG_FLAG,fid_catalog_20260804_6e29ad30
setting_1023_898664502_5,SETTING,1023,898664502,5,SETTING_RACE_REGULAR_TIME_SCORE_SETTLEMENT_MARKER,Setting.SETTING_RACE_REGULAR_TIME_SCORE_SETTLEMENT_MARKER,fid_catalog_20260804_6e29ad30
setting_1023_898664502_7,SETTING,1023,898664502,7,SETTING_RACE_REGULAR_TIME_SCORE_SETTLEMENT_MARKER,Setting.SETTING_RACE_REGULAR_TIME_SCORE_SETTLEMENT_MARKER,fid_catalog_20260804_6e29ad30
